0	1
6	1
16	1
33	1
36	1
52	1
54	0
56	0
60	1
84	1
88	1
90	1
101	1
108	1
113	1
114	0
128	0
136	1
137	1
139	0
148	1
150	0
158	0
160	1
167	1
169	0
172	1
177	1
180	1
181	0
184	0
194	0
209	0
228	1
229	1
235	1
240	1
244	1
246	1
247	1
255	1
257	1
280	1
294	1
330	1
331	0
337	1
344	1
349	1
361	1
362	1
364	1
375	1
394	1
395	1
421	1
426	0
428	1
429	1
430	1
443	1
450	1
464	0
467	1
473	1
477	0
484	1
487	1
495	0
514	1
520	1
524	1
525	1
529	1
531	1
547	1
549	1
559	0
566	0
576	1
585	1
591	1
635	1
643	1
648	1
658	1
665	1
668	1
673	1
681	0
684	1
686	1
690	1
693	1
694	0
696	1
700	1
709	1
712	0
719	1
722	1
727	1
729	0
730	1
731	1
733	1
736	1
745	0
762	1
782	1
802	1
824	1
825	0
836	1
843	1
847	1
874	1
878	1
880	1
889	1
893	1
902	0
907	1
914	0
917	1
922	1
928	1
929	1
933	1
934	1
936	1
941	1
942	1
944	1
957	1
968	0
976	0
983	1
987	1
992	1
996	1
1004	1
1007	1
1009	1
1012	0
1020	0
1023	1
1029	1
1031	1
1041	1
1046	1
1052	1
1072	1
1080	1
1088	1
1089	1
1097	1
1098	1
1102	1
1110	1
1127	1
1129	0
1135	1
1136	1
1138	1
1160	1
1169	1
1178	1
1194	1
1195	1
1198	1
1202	1
1209	1
1210	0
1222	1
1223	1
1236	0
1243	0
1244	1
1255	1
1259	1
1260	0
1272	1
1274	1
1289	0
1292	1
1299	1
1304	0
1307	1
1308	1
1319	1
1323	0
1335	1
1341	1
1368	1
1382	1
1395	0
1429	1
1437	1
1448	1
1454	0
1460	1
1471	1
1478	1
1487	0
1496	1
1499	0
1514	0
1523	1
1524	1
1526	1
1533	1
1556	1
1562	1
1572	0
1573	1
1574	0
1581	0
1598	0
1600	1
1603	1
1610	0
1613	0
1615	1
1621	0
1623	0
1628	0
1629	1
1661	1
1669	1
1681	1
1690	1
1691	1
1704	1
1707	1
1714	1
1718	1
1730	1
1744	1
1756	1
1758	1
1762	1
1765	0
1772	0
1778	0
1788	1
1805	1
1817	1
1824	1
1834	1
1843	1
1866	1
1868	1
1872	1
1881	1
1898	1
1911	1
1919	1
1923	1
1925	0
1944	1
1960	1
1965	1
1979	1
1988	1
2006	0
2008	1
2011	1
2012	1
2024	1
2029	1
2032	1
2039	1
2041	1
2048	1
2054	1
2063	1
2087	1
2090	1
2091	0
2092	1
2094	1
2097	1
2109	1
2115	1
2117	1
2119	1
2137	1
2151	0
2153	1
2164	1
2175	1
2178	1
2184	0
2197	1
2202	0
2204	1
2205	1
2209	1
2237	1
2238	1
2248	1
2249	1
2255	1
2261	1
2271	1
2273	1
2278	1
2280	1
2284	1
2288	1
2293	1
2300	0
2306	1
2308	1
2309	1
2310	1
2312	1
2317	1
2328	1
2336	1
2339	1
2343	1
2367	1
2379	1
2384	1
2390	1
2406	1
2422	1
2423	1
2425	1
2434	1
2447	0
2454	1
2462	1
2463	1
2475	1
2495	0
2496	1
2505	1
2513	1
2514	1
2521	1
2524	1
2528	1
2541	1
2543	1
2545	0
2555	1
2556	0
2570	0
2591	1
2596	1
2599	1
2603	1
2609	0
2616	1
2627	1
2638	1
2639	1
2642	0
2650	0
2652	1
2656	0
2667	0
2675	1
2682	1
2684	0
2691	1
2695	1
2703	1
2709	1
2711	1
2714	1
2742	1
2743	1
2748	1
2749	1
2757	1
2770	1
2776	0
2782	1
2783	1
2784	1
2790	1
2799	1
2804	1
2807	1
2810	0
2817	1
2820	1
2823	1
2824	1
2829	0
2832	0
2833	1
2844	1
2848	1
2849	1
2850	1
2853	1
2863	1
2875	1
2879	1
2884	1
2893	1
2895	0
2913	0
2915	1
2921	0
